sentence,label
آپ کیسے ہیں؟,formal
تم کیسے ہو؟,informal
آپ کہاں سے تعلق رکھتے ہیں؟,formal
کہاں کے ہو تم؟,informal
براہ کرم بیٹھ جائیں۔,formal
بیٹھ جا نا۔,informal
کیا آپ میری مدد کر سکتے ہیں؟,formal
ذرا میری مدد کر دو۔,informal
آپ سے ملاقات کر کے خوشی ہوئی۔,formal
تم سے مل کے مزہ آیا۔,informal
براہِ کرم یہ کام مکمل کریں۔,formal
یہ کام جلدی کر دو نا۔,informal
کیا آپ چائے لینا پسند کریں گے؟,formal
چائے پیو گے؟,informal
آپ کی صحت کے لیے دعا گو ہوں۔,formal
جلدی ٹھیک ہو جاؤ یار۔,informal
آپ کی رائے ہمارے لیے اہم ہے۔,formal
تمہاری رائے اچھی لگی۔,informal
براہِ مہربانی خاموشی اختیار کریں۔,formal
چپ ہو جاؤ ذرا۔,informal
امید ہے آپ خیریت سے ہوں گے۔,formal
امید ہے سب ٹھیک ہوگا۔,informal
آپ کے تعاون کا شکریہ۔,formal
شکریہ یار، تم نے بچا لیا۔,informal
میں آپ کا ممنون ہوں۔,formal
تمہارا شکریہ۔,informal
براہِ کرم، مجھے اجازت دیجیے۔,formal
مجھے اب جانا ہے۔,informal
کیا آپ کے والد صاحب خیریت سے ہیں؟,formal
تمہارے ابو کیسے ہیں؟,informal
آپ سے دوبارہ ملاقات کی امید ہے۔,formal
پھر کب آؤ گے؟,informal
آپ کی محنت قابلِ تعریف ہے۔,formal
تم نے بہت اچھا کام کیا۔,informal
آپ کی حاضری درج کر لی گئی ہے۔,formal
حاضری لگ گئی تمہاری۔,informal
آپ کی درخواست موصول ہو گئی ہے۔,formal
تمہارا میسج مل گیا۔,informal
براہ کرم وقت کی پابندی کریں۔,formal
ٹائم پہ آنا یار۔,informal
آپ کی خدمت میں حاضر ہوں۔,formal
میں تمہارے لیے حاضر ہوں۔,informal
آپ کے والدین کیسے ہیں؟,formal
گھر والے ٹھیک ہیں نا؟,informal
براہ کرم تشریف رکھیے۔,formal
بیٹھ جاؤ نا۔,informal
آپ سے گزارش ہے کہ جلد جواب دیں۔,formal
ریپلائے دے دو جلدی۔,informal
یہ آپ کی مہربانی ہے۔,formal
تم نے اچھا کیا۔,informal
آپ کا بہت شکریہ۔,formal
بہت شکریہ بھائی۔,informal
براہ کرم اس دستاویز پر دستخط کریں۔,formal
یہ پیپر سائن کر دے۔,informal
آپ سے بات کر کے خوشی ہوئی۔,formal
تم سے بات کر کے اچھا لگا۔,informal
کیا آپ مصروف ہیں؟,formal
فارغ ہو کیا؟,informal
